fips,region,sid,county,state,nis,is_presence,gc,nps,nps_presence,pop,i21,long,lat,group,county_fips,pop_log
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.460423,39.328236,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.439027,39.313384,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.436936,39.309379,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.435551,39.297546,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.435374,39.296676,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.427953,39.285049,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.408376,39.264698,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.402964,39.254626,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.404823,39.245898,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.405927,39.243631,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.405716,39.223834,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.404745,39.222666,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.396892,39.216141,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.393015,39.204512,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.39479,39.188354,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.398584,39.186616,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.400144,39.186456,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.408266,39.174625,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.410625,39.156246,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.401193,39.088762,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.402035,39.066885,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.400294,39.065645,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.395806,39.059211,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.396277,39.057884,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.387914,39.051174,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.379873,39.04879,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.345763,39.024857,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.34089,39.01996,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.318354,38.988191,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.314951,38.980775,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.311607,38.967637,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.312546,38.951065,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.312546,38.94928,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.31192256,38.94591681,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.321266,38.953455,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.350213,38.947438,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.361025,38.957533,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.380649,38.961873,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.40104,38.947031,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.402046,38.917808,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.465153,38.91131,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.484125,38.904448,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.49778,38.882127,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.508168,38.878951,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.520439,38.855742,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.555013,38.835649,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.72280102,38.8298507,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.722821,38.830123,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.723093,38.833272,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.724214,38.846802,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.724273,38.847901,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.725777,38.868279,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.726041,38.869423,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.74403,39.09487,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.746013,39.115137,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.746341,39.120522,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.747873,39.14327934,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.747889,39.143517,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.749578,39.165033,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.75125,39.177984,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.756177,39.246201,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.75617871,39.246222,10001.1,10001,5.257164795839777
10001,1,2,kent,de,0,0,29,0,0,180786,1,-75.76030745,39.29679994,10001.1,10001,5.257164795839777
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.788853,39.681117,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.788895,39.682287,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.788632,39.700412,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.788632,39.700668,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.788596,39.722199,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.773786,39.7222,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.76626,39.738178,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.760529,39.747594,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.753227999999993,39.757989,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.744536,39.768206,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.736614,39.776103,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.727156,39.784462,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.717059,39.792325,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.701275,39.802918,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.686039,39.811351,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.662846,39.821425,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.641523,39.828616,10003.1,10003,5.747219867916186
10003,1,3,new castle,de,1,1,40,1,1,558753,1,-75.634706,39.83041,10003.1,10003,5.747219867916186
