i21,nis,is_presence,nps,nps_presence,gc,pop,latitude,longitude,county,state,e_dist,std_nis,std_nps,std_gc,std_pop
1,1,1,1,1,19,491845,40.858581,-74.547427,morris,NJ,7226.7425136538895,0.17203865082619663,0.36549519662310564,0.6748052495027268,0.4998384899932047
1,0,0,0,0,29,180786,39.097088,-75.502982,kent,DE,7229.282580972068,-1.0178953507216633,-0.6628472209944458,1.7655323324380008,-0.25231228144987644
1,2,1,1,1,19,384940,41.40241,-74.306252,orange,NY,7235.578640095604,1.3619726523740565,0.36549519662310564,0.6748052495027268,0.24133872557191297
1,0,0,0,0,9,62385,39.573828,-75.357356,salem,NJ,7244.818965884319,-1.0178953507216633,-0.6628472209944458,-0.41592183343254735,-0.5386097474921135
1,2,1,0,0,20,1584000,40.009376,-75.133346,philadelphia,PA,7245.769849065093,1.3619726523740565,-0.6628472209944458,0.7838779577962541,3.1407047751205224
1,1,1,0,0,15,124371,40.565283,-74.91197,hunterdon,NJ,7257.345434150989,0.17203865082619663,-0.6628472209944458,0.23851441632861714,-0.3887255849420159
0,0,0,0,0,1,33406,38.871531,-75.831631,caroline,MD,7261.432182404122,-1.0178953507216633,-0.6628472209944458,-1.2885034997807665,-0.6086819113119968
1,1,1,0,0,31,628270,40.336887,-75.10706,bucks,PA,7268.1349146943685,0.17203865082619663,-0.6628472209944458,1.9836777490250557,0.8297185738169242
1,1,1,2,1,19,140488,41.137424,-74.691855,sussex,NJ,7271.160856696802,0.17203865082619663,1.3938376142406572,0.6748052495027268,-0.34975415513819047
1,1,1,0,0,15,177573,41.947232,-74.265447,ulster,NY,7274.926890571633,0.17203865082619663,-0.6628472209944458,0.23851441632861714,-0.26008141987264066
1,1,1,1,1,21,566747,39.91667,-75.398786,delaware,PA,7278.317474162696,0.17203865082619663,0.36549519662310564,0.8929506660897816,0.6809539603143645
1,1,1,1,1,40,558753,39.575915,-75.644132,new castle,DE,7288.287754120649,0.17203865082619663,0.36549519662310564,2.965332123666802,0.6616242085087072
1,2,1,2,1,16,105267,40.853524,-75.009542,warren,NJ,7295.441814268339,1.3619726523740565,1.3938376142406572,0.34758712462214453,-0.43491967782358704
1,1,1,1,1,38,830915,40.209999,-75.370201,montgomery,PA,7297.5112183604015,0.17203865082619663,0.36549519662310564,2.7471867070797473,1.3197207697960895
0,0,0,0,0,8,37181,38.749427,-76.17913,talbot,MD,7304.777940385229,-1.0178953507216633,-0.6628472209944458,-0.5249945417260747,-0.5995538386241863
0,0,0,0,0,5,50381,39.040693,-76.082405,queen anne’s,MD,7312.708060504273,-1.0178953507216633,-0.6628472209944458,-0.852212666606657,-0.5676358096231008
0,0,0,1,1,8,75432,41.720176,-74.76468,sullivan,NY,7330.330460973376,-1.0178953507216633,0.36549519662310564,-0.5249945417260747,-0.5070616774635406
1,1,1,1,1,17,305285,40.752791,-75.307447,northampton,PA,7332.00154794749,0.17203865082619663,0.36549519662310564,0.45665983291567197,0.04873034677786223
