fips,county,state,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,long,lat,group,county_fips
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.528866,41.016397,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.531169,41.021919,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.530189,41.028776,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.532786,41.03167,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.535338,41.03192,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.551494,41.024336,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.561968,41.016797,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.567668,41.010897,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.570068,41.001597,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.583968,41.000897,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.584988,41.010537,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.595699,41.015995,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.603952,41.015054,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.643478,41.002171,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.651175,40.995229,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.657336,40.985171,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.65761589,40.98549919,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.659671,40.987909,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.658772,40.993497,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.659372,40.999497,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.655571,41.007697,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.654671,41.011697,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.655371,41.012797,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.662672,41.020497,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.670472,41.030097,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.679973,41.041797,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.687173,41.050697,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.694273,41.059296,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.716875,41.087596,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.722575,41.093596,09001.1,09001
9001,fairfield,ct,0,0,0.009,0.04,0.091,0.173,0.315,0.51,0.685,0.842,0.926,0.976,-73.727775,41.100696,09001.1,09001
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-73.00876431,42.03886028,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.999549,42.038653,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.863733,42.03771,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.863619,42.037709,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.847142,42.036894,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.813541,42.036494,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.816741,41.997595,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.77475939,42.00212883,09003.1,09003
